text;label
Gostaria de abrir uma nova solicitação para atualização dos meus dados;nova solicitacao
Preciso registrar um pedido de alteração no cadastro;nova solicitacao
Quero solicitar um novo cartão de crédito;nova solicitacao
Desejo abrir um chamado para suporte técnico;nova solicitacao
Preciso iniciar uma solicitação referente a cobrança indevida;nova solicitacao
Gostaria de solicitar aumento de limite;nova solicitacao
Quero abrir uma solicitação para renegociar minha dívida;nova solicitacao
Preciso de suporte para abrir um novo pedido;nova solicitacao
Solicito abertura de chamado para problema no aplicativo;nova solicitacao
Desejo registrar uma nova solicitação no sistema;nova solicitacao
Quero abrir uma solicitação sobre erro no login;nova solicitacao
Solicito abertura de atendimento para falha no sistema;nova solicitacao
Preciso abrir uma solicitação de cancelamento;nova solicitacao
Gostaria de iniciar um pedido de revisão de cobrança;nova solicitacao
Quero registrar uma nova demanda;nova solicitacao
Solicitação de novo atendimento;nova solicitacao
Abrir chamado para problema técnico;nova solicitacao
Pedido de abertura de solicitação;nova solicitacao
Solicito atendimento para erro de pagamento;nova solicitacao
Quero iniciar uma solicitação de suporte;nova solicitacao
Desejo abrir nova solicitação referente a contrato;nova solicitacao
Solicitação para atualização cadastral;nova solicitacao
Pedido de abertura de chamado financeiro;nova solicitacao
Abrir solicitação para revisão de fatura;nova solicitacao
Quero solicitar suporte técnico;nova solicitacao
Solicitação de novo protocolo;nova solicitacao
Abrir atendimento para problema de acesso;nova solicitacao
Solicito ajuda para abrir solicitação;nova solicitacao
Nova solicitação de atendimento;nova solicitacao
Registro de solicitação inicial;nova solicitacao
Gostaria de abrir chamado para erro no app;nova solicitacao
Pedido inicial de atendimento;nova solicitacao
Solicitação para análise de débito;nova solicitacao
Abrir solicitação para correção de dados;nova solicitacao
Iniciar atendimento para problema financeiro;nova solicitacao
Solicitação para desbloqueio de conta;nova solicitacao
Pedido de abertura de chamado técnico;nova solicitacao
Nova solicitação para revisão contratual;nova solicitacao
Solicitação inicial de suporte;nova solicitacao
Abertura de novo chamado;nova solicitacao

Segue resposta referente à solicitação aberta anteriormente;resposta a solicitacao existente
Estou retornando sobre o chamado número 4587;resposta a solicitacao existente
Conforme solicitado, segue meu retorno sobre o pedido;resposta a solicitacao existente
Em resposta à solicitação em andamento;resposta a solicitacao existente
Gostaria de dar continuidade ao atendimento já iniciado;resposta a solicitacao existente
Respondendo ao chamado aberto na semana passada;resposta a solicitacao existente
Segue atualização sobre a solicitação existente;resposta a solicitacao existente
